,Countries
0,Argentina
1,Australia
2,Austria
3,Bahrain
4,Bangladesh
5,Belgium
6,Bosnia-Herzegovina
7,Botswana
8,Brazil
9,Bulgaria
10,Canada
11,Chile
12,China
13,Colombia
14,Costa Rica
15,Cote D'Ivoire
16,Croatia
17,Cyprus
18,Czech Republic
19,Denmark
20,Egypt
21,Estonia
22,Euro Zone
23,Finland
24,France
25,Germany
26,Greece
27,Hong Kong
28,Hungary
29,Iceland
30,India
31,Indonesia
32,Iraq
33,Ireland
34,Israel
35,Italy
36,Jamaica
37,Japan
38,Jordan
39,Kazakhstan
40,Kenya
41,Kuwait
42,Latvia
43,Lebanon
44,Lithuania
45,Luxembourg
46,Malawi
47,Malaysia
48,Malta
49,Mauritius
50,Mexico
51,Mongolia
52,Montenegro
53,Morocco
54,Namibia
55,Netherlands
56,New Zealand
57,Nigeria
58,Norway
59,Oman
60,Pakistan
61,Palestinian Territory
62,Peru
63,Philippines
64,Poland
65,Portugal
66,Qatar
67,Romania
68,Russia
69,Rwanda
70,Saudi Arabia
71,Serbia
72,Singapore
73,Slovakia
74,Slovenia
75,South Africa
76,South Korea
77,Spain
78,Sri Lanka
79,Sweden
80,Switzerland
81,Taiwan
82,Tanzania
83,Thailand
84,Tunisia
85,TÃ¼rkiye
86,Uganda
87,Ukraine
88,United Arab Emirates
89,United Kingdom
90,Venezuela
91,Vietnam
92,Zambia
93,Zimbabwe
